Event_Name,Date,Fav_Fighter,Un_Fighter,Fighter_ID_Fav,Fighter_ID_Un,Result_Fav,Result_Un,Round,Round_Format,Weight_Class,Time,Method,Height_Fav,Reach_Fav,Stance_Fav,Height_Un,Reach_Un,Stance_Un,Age_At_Fight_Fav_Days,Age_At_Fight_Un_Days,Age_At_Fight_Fav_Years,Age_At_Fight_Un_Years,Age_Diff_Years,Age_Diff_Days,Avg_Odds_Fav,Avg_Odds_Un,Med_Odds_Fav,Med_Odds_Un,Impld_Prob_Avg_Fav,Impld_Prob_Avg_Un,Impld_Prob_Med_Fav,Impld_Prob_Med_Un,USodds_Fav_1,USodds_Un_1,USodds_Fav_2,USodds_Un_2,USodds_Fav_3,USodds_Un_3,USodds_Fav_4,USodds_Un_4,USodds_Fav_5,USodds_Un_5,Decodds_Fav_1,Decodds_Un_1,Decodds_Fav_2,Decodds_Un_2,Decodds_Fav_3,Decodds_Un_3,Decodds_Fav_4,Decodds_Un_4,Decodds_Fav_5,Decodds_Un_5,KD_Fav,KD_Un,Pass_Fav,Pass_Un,Rev_Fav,Rev_Un,Sig_Str_Fav,Sig_Str_Un,Sig_Str_Body_Fav,Sig_Str_Body_Un,Sig_Str_Clinch_Fav,Sig_Str_Clinch_Un,Sig_Str_Distance_Fav,Sig_Str_Distance_Un,Sig_Str_Ground_Fav,Sig_Str_Ground_Un,Sig_Str_Head_Fav,Sig_Str_Head_Un,Sig_Str_Leg_Fav,Sig_Str_Leg_Un,Sig_Str_Pct_Fav,Sig_Str_Pct_Un,Sub_Att_Fav,Sub_Att_Un,TD_Fav,TD_Un,TD_Pct_Fav,TD_Pct_Un,Total_Str_Fav,Total_Str_Un,Nickname_Fav,Nickname_Un,DOB_Fav,DOB_Un,Betting_ID,Event_ID,Fight_ID,Details
UFC Fight Night: Dos Anjos vs. Alvarez,7/7/2016,Gilbert Burns,Lukasz Sajewski,http://ufcstats.com/fighter-details/23024fdfc966410a,http://ufcstats.com/fighter-details/fb41432b622992a9,W,L,1,3 Rnd (5-5-5),Lightweight Bout,4:57,Submission,"5' 10""","71.0""",Orthodox,"5' 8""","71.0""",Orthodox,10945,9354,29.98630137,25.62739726,4.35890411,1591,1.384581271,3.036,1.392156863,3.1,72.22400162,32.93807642,71.83098592,32.25806452,-255,215,-260,185,-285,210,-253,220,-250,188,1.392156863,3.15,1.384615385,2.85,1.350877193,3.1,1.395256917,3.2,1.4,2.88,0,0,1,0,0,0,13 of 30,14 of 30,5 of 7,5 of 8,4 of 5,2 of 5,6 of 21,12 of 25,3 of 4,0 of 0,8 of 23,8 of 21,0 of 0,1 of 1,43%,46%,1,0,1 of 5,0 of 1,20%,0%,16 of 34,15 of 31,"""Durinho""","""Wookie""",7/20/1986,11/27/1990,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118,http://www.ufcstats.com/event-details/45a2ba3ef82b9700,http://www.ufcstats.com/fight-details/e71a155192ff2f6c,
UFC Fight Night: MacDonald vs Thompson,6/18/2016,Rory Macdonald,Stephen Thompson,http://ufcstats.com/fighter-details/cbd5d3cdd862e90e,http://ufcstats.com/fighter-details/4a28cb716c19157a,L,W,5,5 Rnd (5-5-5-5-5),Welterweight Bout,5:00,Decision - Unanimous,"6' 0""","76.0""",Orthodox,"6' 0""","75.0""",Orthodox,9828,12181,26.9260274,33.37260274,-6.446575342,-2353,1.835956731,1.978087801,1.8,2,54.46751457,50.55387327,55.55555556,50,-105,-115,-130,100,-135,105,-109,-103,-125,100,1.952380952,1.869565217,1.769230769,2,1.740740741,2.05,1.917431193,1.970873786,1.8,2,0,0,0,0,0,0,61 of 152,110 of 259,10 of 14,23 of 34,11 of 13,8 of 12,47 of 135,97 of 242,3 of 4,5 of 5,50 of 137,71 of 208,1 of 1,16 of 17,40%,42%,0,0,0 of 2,0 of 0,0%,0%,62 of 153,124 of 274,"""Red King""","""Wonderboy""",7/22/1989,2/11/1983,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098,http://www.ufcstats.com/event-details/563d051c9e769b24,http://www.ufcstats.com/fight-details/75e21e2f5f3be42e,Sal D'amato47 - 48.
UFC Fight Night: MacDonald vs Thompson,6/18/2016,Donald Cerrone,Patrick Cote,http://ufcstats.com/fighter-details/1d00756835ca67c9,http://ufcstats.com/fighter-details/9fa3bd637edd9aa2,W,L,3,3 Rnd (5-5-5),Welterweight Bout,2:35,KO/TKO,"6' 1""","73.0""",Orthodox,"5' 11""","71.0""",Orthodox,12135,13259,33.24657534,36.3260274,-3.079452055,-1124,1.640404455,2.254,1.64516129,2.25,60.96057573,44.36557232,60.78431373,44.44444444,-155,135,-150,115,-150,105,-166,147,-161,125,1.64516129,2.35,1.666666667,2.15,1.666666667,2.05,1.602409639,2.47,1.621118012,2.25,3,0,2,0,0,0,73 of 119,46 of 93,14 of 18,17 of 25,8 of 13,1 of 2,48 of 86,45 of 91,17 of 20,0 of 0,42 of 83,17 of 54,17 of 18,12 of 14,61%,49%,1,0,2 of 3,0 of 2,66%,0%,92 of 140,57 of 111,"""Cowboy""","""The Predator""",3/29/1983,2/29/1980,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098,http://www.ufcstats.com/event-details/563d051c9e769b24,http://www.ufcstats.com/fight-details/4b8c8ae61251ff83,
UFC Fight Night: MacDonald vs Thompson,6/18/2016,Steve Bosse,Sean O'Connell,http://ufcstats.com/fighter-details/e023fa2e648ea0f1,http://ufcstats.com/fighter-details/cb52f9490c2dc069,W,L,3,3 Rnd (5-5-5),Light Heavyweight Bout,5:00,Decision - Unanimous,"5' 11""","72.0""",Orthodox,"6' 1""","74.0""",Orthodox,12743,11978,34.91232877,32.81643836,2.095890411,765,1.709094756,2.16,1.724637681,2.17,58.5105066,46.2962963,57.98319328,46.08294931,-138,118,-150,115,-150,120,-132,117,-137,110,1.724637681,2.18,1.666666667,2.15,1.666666667,2.2,1.757575758,2.17,1.729927007,2.1,0,1,3,1,0,0,93 of 172,84 of 167,12 of 14,17 of 19,15 of 18,11 of 15,56 of 117,64 of 135,22 of 37,9 of 17,76 of 150,63 of 143,5 of 8,4 of 5,54%,50%,0,0,1 of 3,0 of 3,33%,0%,120 of 202,124 of 209,"""The Boss""","""The Real OC""",7/29/1981,9/2/1983,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098,http://www.ufcstats.com/event-details/563d051c9e769b24,http://www.ufcstats.com/fight-details/ad61d042c43451a8,Sal D'amato29 - 27.
UFC Fight Night: MacDonald vs Thompson,6/18/2016,Olivier Aubin-Mercier,Thibault Gouti,http://ufcstats.com/fighter-details/55ee431411ccf07a,http://ufcstats.com/fighter-details/51e86de150ee8be6,W,L,3,3 Rnd (5-5-5),Lightweight Bout,2:28,Submission,"5' 9""","70.0""",Southpaw,"5' 10""","72.0""",Orthodox,9977,10704,27.33424658,29.3260274,-1.991780822,-727,1.221963781,4.35,1.21978022,4.3,81.83548609,22.98850575,81.98198198,23.25581395,-400,330,-500,325,-470,320,-440,367,-455,333,1.25,4.3,1.2,4.25,1.212765957,4.2,1.227272727,4.67,1.21978022,4.33,0,0,5,1,0,1,44 of 61,29 of 69,6 of 6,3 of 5,1 of 3,4 of 9,22 of 35,14 of 48,21 of 23,11 of 12,38 of 55,24 of 62,0 of 0,2 of 2,72%,42%,1,0,3 of 8,0 of 0,37%,0%,74 of 95,63 of 105,"""The Canadian Gangster""","""GT""",2/23/1989,2/27/1987,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098,http://www.ufcstats.com/event-details/563d051c9e769b24,http://www.ufcstats.com/fight-details/c69c5830064fd591,
UFC Fight Night: MacDonald vs Thompson,6/18/2016,Valerie Letourneau,Joanne Calderwood,http://ufcstats.com/fighter-details/46a2f24feb258ae0,http://ufcstats.com/fighter-details/12f91bfa8f1f723b,L,W,3,3 Rnd (5-5-5),Women's Flyweight Bout,2:44,KO/TKO,"5' 7""","68.0""",Orthodox,"5' 6""","65.0""",Orthodox,12104,11135,33.16164384,30.50684932,2.654794521,969,1.631893631,2.306,1.64516129,2.25,61.27850374,43.36513443,60.78431373,44.44444444,-152,132,-155,120,-200,155,-136,121,-161,125,1.657894737,2.32,1.64516129,2.2,1.5,2.55,1.735294118,2.21,1.621118012,2.25,0,2,0,1,0,0,80 of 143,115 of 208,19 of 21,19 of 35,19 of 22,10 of 15,58 of 118,96 of 176,3 of 3,9 of 17,50 of 107,58 of 127,11 of 15,38 of 46,55%,55%,0,0,0 of 0,3 of 6,0%,50%,95 of 162,142 of 239,"""Trouble""","""JoJo""",4/29/1983,12/23/1985,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098,http://www.ufcstats.com/event-details/563d051c9e769b24,http://www.ufcstats.com/fight-details/fe6da751f2a4859a,
UFC Fight Night: MacDonald vs Thompson,6/18/2016,Jason Saggo,Leandro Silva,http://ufcstats.com/fighter-details/4ac1ecf8ce59ef23,http://ufcstats.com/fighter-details/159da492e000afbf,W,L,3,3 Rnd (5-5-5),Lightweight Bout,5:00,Decision - Split,"5' 11""","71.0""",Orthodox,"5' 9""","72.0""",Orthodox,11165,11177,30.5890411,30.62191781,-0.032876712,-12,1.769741336,2.066078431,1.740740741,2.1,56.50543272,48.40087311,57.44680851,47.61904762,-125,105,-145,110,-135,110,-110,-102,-141,110,1.8,2.05,1.689655172,2.1,1.740740741,2.1,1.909090909,1.980392157,1.709219858,2.1,0,0,2,0,0,0,48 of 132,47 of 99,6 of 17,6 of 10,0 of 2,2 of 3,37 of 118,40 of 87,11 of 12,5 of 9,29 of 94,31 of 77,13 of 21,10 of 12,36%,47%,0,0,1 of 2,2 of 3,50%,66%,75 of 160,61 of 115,,"""Buscape""",11/23/1985,11/11/1985,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098,http://www.ufcstats.com/event-details/563d051c9e769b24,http://www.ufcstats.com/fight-details/2e11087e1a4f066b,Doug Crosby29 - 28.
UFC Fight Night: MacDonald vs Thompson,6/18/2016,Misha Cirkunov,Ion Cutelaba,http://ufcstats.com/fighter-details/67f272324a030d00,http://ufcstats.com/fighter-details/cd13728ae1151f46,W,L,3,3 Rnd (5-5-5),Light Heavyweight Bout,1:22,Submission,"6' 3""","77.0""",Orthodox,"6' 1""","75.0""",Southpaw,10704,8222,29.3260274,22.5260274,6.8,2482,1.455647535,2.752,1.454545455,2.75,68.6979489,36.3372093,68.75,36.36363636,-205,175,-220,160,-250,185,-206,181,-222,175,1.487804878,2.75,1.454545455,2.6,1.4,2.85,1.485436893,2.81,1.45045045,2.75,0,0,1,1,0,0,44 of 94,24 of 115,7 of 15,7 of 17,9 of 13,3 of 4,35 of 81,20 of 110,0 of 0,1 of 1,36 of 78,12 of 93,1 of 1,5 of 5,46%,20%,1,0,1 of 3,0 of 1,33%,0%,55 of 106,25 of 116,,"""The Hulk""",2/27/1987,12/14/1993,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098,http://www.ufcstats.com/event-details/563d051c9e769b24,http://www.ufcstats.com/fight-details/911e151d1907197d,
UFC Fight Night: MacDonald vs Thompson,6/18/2016,Tamdan McCrory,Krzysztof Jotko,http://ufcstats.com/fighter-details/eff47295daf721a6,http://ufcstats.com/fighter-details/4e06913c91da5200,L,W,1,3 Rnd (5-5-5),Middleweight Bout,0:59,KO/TKO,"6' 4""","78.0""",Switch,"6' 1""","77.0""",Southpaw,10818,9800,29.63835616,26.84931507,2.789041096,1018,1.529272419,2.532,1.529100529,2.5,65.39057315,39.49447077,65.39792388,40,-175,150,-190,145,-220,165,-177,156,-189,150,1.571428571,2.5,1.526315789,2.45,1.454545455,2.65,1.564971751,2.56,1.529100529,2.5,0,1,0,0,0,0,2 of 6,4 of 10,1 of 1,0 of 0,0 of 0,0 of 0,2 of 6,2 of 8,0 of 0,2 of 2,1 of 5,4 of 8,0 of 0,0 of 2,33%,40%,0,0,0 of 0,0 of 0,0%,0%,2 of 6,4 of 10,"""The Barncat""",,11/5/1986,8/19/1989,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098,http://www.ufcstats.com/event-details/563d051c9e769b24,http://www.ufcstats.com/fight-details/68a93f8eb34f3251,
UFC Fight Night: MacDonald vs Thompson,6/18/2016,Joe Soto,Chris Beal,http://ufcstats.com/fighter-details/a4e85a58fbce64b2,http://ufcstats.com/fighter-details/55f446032177b119,W,L,3,3 Rnd (5-5-5),Bantamweight Bout,3:39,Submission,"5' 6""","65.0""",Orthodox,"5' 7""","69.0""",Orthodox,10681,11274,29.2630137,30.88767123,-1.624657534,-593,1.775840456,2.062,1.769230769,2.05,56.31136495,48.49660524,56.52173913,48.7804878,-125,105,-135,105,-130,100,-125,111,-130,110,1.8,2.05,1.740740741,2.05,1.769230769,2,1.8,2.11,1.769230769,2.1,0,0,2,0,0,0,47 of 136,76 of 209,3 of 3,8 of 12,0 of 0,0 of 0,42 of 131,76 of 209,5 of 5,0 of 0,37 of 119,68 of 197,7 of 14,0 of 0,34%,36%,2,0,1 of 7,0 of 0,14%,0%,63 of 153,78 of 211,"""One Bad Mofo""","""Real Deal""",3/22/1987,8/6/1985,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098,http://www.ufcstats.com/event-details/563d051c9e769b24,http://www.ufcstats.com/fight-details/4cf7792aef993be1,
