Event_Name,Fav_Fighter,Un_Fighter,Fighter_ID_Fav,Fighter_ID_Un,Result_Fav,Result_Un,Round,Round_Format,Weight_Class,Time,Method,Height_Fav,Reach_Fav,Stance_Fav,Height_Un,Reach_Un,Stance_Un,Avg_Odds_Fav,Avg_Odds_Un,Med_Odds_Fav,Med_Odds_Un,Impld_Prob_Avg_Fav,Impld_Prob_Avg_Un,Impld_Prob_Med_Fav,Impld_Prob_Med_Un,USodds_Fav_1,USodds_Un_1,USodds_Fav_2,USodds_Un_2,USodds_Fav_3,USodds_Un_3,USodds_Fav_4,USodds_Un_4,USodds_Fav_5,USodds_Un_5,Decodds_Fav_1,Decodds_Un_1,Decodds_Fav_2,Decodds_Un_2,Decodds_Fav_3,Decodds_Un_3,Decodds_Fav_4,Decodds_Un_4,Decodds_Fav_5,Decodds_Un_5,KD_Fav,KD_Un,Pass_Fav,Pass_Un,Rev_Fav,Rev_Un,Sig_Str_Fav_Att,Sig_Str_Fav_Com,Sig_Str_Fav_Pct,Sig_Str_Un_Att,Sig_Str_Un_Com,Sig_Str_Un_Pct,Sig_Str_Body_Fav_Att,Sig_Str_Body_Fav_Com,Sig_Str_Body_Fav_Pct,Sig_Str_Body_Un_Att,Sig_Str_Body_Un_Com,Sig_Str_Body_Un_Pct,Sig_Str_Clinch_Fav_Att,Sig_Str_Clinch_Fav_Com,Sig_Str_Clinch_Fav_Pct,Sig_Str_Clinch_Un_Att,Sig_Str_Clinch_Un_Com,Sig_Str_Clinch_Un_Pct,Sig_Str_Distance_Fav_Att,Sig_Str_Distance_Fav_Com,Sig_Str_Distance_Fav_Pct,Sig_Str_Distance_Un_Att,Sig_Str_Distance_Un_Com,Sig_Str_Distance_Un_Pct,Sig_Str_Ground_Fav_Att,Sig_Str_Ground_Fav_Com,Sig_Str_Ground_Fav_Pct,Sig_Str_Ground_Un_Att,Sig_Str_Ground_Un_Com,Sig_Str_Ground_Un_Pct,Sig_Str_Head_Fav_Att,Sig_Str_Head_Fav_Com,Sig_Str_Head_Fav_Pct,Sig_Str_Head_Un_Att,Sig_Str_Head_Un_Com,Sig_Str_Head_Un_Pct,Sig_Str_Leg_Fav_Att,Sig_Str_Leg_Fav_Com,Sig_Str_Leg_Fav_Pct,Sig_Str_Leg_Un_Att,Sig_Str_Leg_Un_Com,Sig_Str_Leg_Un_Pct,Sub_Att_Fav,Sub_Att_Un,TD_Fav_Att,TD_Fav_Com,TD_Fav_Pct,TD_Un_Att,TD_Un_Com,TD_Un_Pct,Total_Str_Fav_Att,Total_Str_Fav_Com,Total_Str_Un_Att,Total_Str_Un_Com,Nickname_Fav,Nickname_Un,Betting_ID,Event_ID,Fight_ID,Details
UFC Fight Night: Werdum vs. Tybura,Jake Matthews,Bojan Velickovic,http://ufcstats.com/fighter-details/a845f0735bc67405,http://ufcstats.com/fighter-details/fcce75a25c14a804,W,L,3,3 Rnd (5-5-5),Welterweight Bout,5:00,Decision - Split,"5' 11""","73.0""",Orthodox,"6' 0""","76.0""",Southpaw,1.713593784,2.154,1.724637681,2.15,58.35688771,46.42525534,57.98319328,46.51162791,-145,115,-138,118,-150,115,-135,110,-134,119,1.689655172,2.15,1.724637681,2.18,1.666666667,2.15,1.740740741,2.1,1.746268657,2.19,0,0,3,4,2,1,24,48,0.5,20,34,0.588235294,2,4,0.5,1,2,0.5,9,13,0.692307692,1,1,1,9,28,0.321428571,11,25,0.44,6,7,0.857142857,8,8,1,20,41,0.487804878,18,31,0.580645161,2,3,0.666666667,1,1,1,1,0,1,1,1,4,11,0.363636364,113,163,50,69,"""The Celtic Kid""","""Serbian Steel""",https://www.bestfightodds.com/events/ufc-fight-night-121-werdum-vs-tybura-1354,http://www.ufcstats.com/event-details/caced97768818230,http://www.ufcstats.com/fight-details/344bfe9c1ff511bb,Anthony Dimitriou29 - 28.
UFC Fight Night: Werdum vs. Tybura,Elias Theodorou,Daniel Kelly,http://ufcstats.com/fighter-details/34f88592c0ab7a54,http://ufcstats.com/fighter-details/bdcbb976816fd256,W,L,3,3 Rnd (5-5-5),Middleweight Bout,5:00,Decision - Unanimous,"6' 1""","75.0""",Orthodox,"6' 0""","70.0""",Southpaw,1.333639963,3.33,1.333333333,3.4,74.98275605,30.03003003,75,29.41176471,-330,240,-280,240,-300,215,-310,225,-284,245,1.303030303,3.4,1.357142857,3.4,1.333333333,3.15,1.322580645,3.25,1.352112676,3.45,0,0,1,0,0,1,42,120,0.35,118,250,0.472,4,7,0.571428571,33,54,0.611111111,17,31,0.548387097,13,15,0.866666667,25,89,0.280898876,105,235,0.446808511,0,0,0,0,0,0,37,112,0.330357143,49,144,0.340277778,1,1,1,36,52,0.692307692,1,0,2,7,0.285714286,0,0,0,54,133,128,261,"""The Spartan""",,https://www.bestfightodds.com/events/ufc-fight-night-121-werdum-vs-tybura-1354,http://www.ufcstats.com/event-details/caced97768818230,http://www.ufcstats.com/fight-details/569e2c02f7699c0d,Charlie Keech30 - 26.
UFC Fight Night: Werdum vs. Tybura,Alexander Volkanovski,Shane Young,http://ufcstats.com/fighter-details/e1248941344b3288,http://ufcstats.com/fighter-details/4cd8b03aee1d0138,W,L,3,3 Rnd (5-5-5),Catch Weight Bout,5:00,Decision - Unanimous,"5' 6""","71.0""",Orthodox,"5' 8""","72.0""",Orthodox,1.156930238,5.372,1.15503876,5.35,86.43563521,18.61504095,86.57718121,18.69158879,-675,435,-615,465,-650,390,-645,410,-606,486,1.148148148,5.35,1.162601626,5.65,1.153846154,4.9,1.15503876,5.1,1.165016502,5.86,0,0,9,1,0,0,68,114,0.596491228,18,81,0.222222222,11,13,0.846153846,5,10,0.5,14,25,0.56,3,6,0.5,40,71,0.563380282,15,75,0.2,14,18,0.777777778,0,0,0,36,78,0.461538462,11,67,0.164179104,21,23,0.913043478,2,4,0.5,0,0,5,14,0.357142857,1,1,1,79,128,20,83,"""The Great""","""Sugar""",https://www.bestfightodds.com/events/ufc-fight-night-121-werdum-vs-tybura-1354,http://www.ufcstats.com/event-details/caced97768818230,http://www.ufcstats.com/fight-details/097bc98e15722998,Kon Papaioannou30 - 26.
UFC Fight Night: Werdum vs. Tybura,Ryan Benoit,Ashkan Mokhtarian,http://ufcstats.com/fighter-details/20999e27ddd94bda,http://ufcstats.com/fighter-details/e9bc5748e6a76bb6,W,L,3,3 Rnd (5-5-5),Flyweight Bout,2:38,KO/TKO,"5' 5""","68.0""",Orthodox,"5' 6""","67.0""",Southpaw,1.349378997,3.264,1.348432056,3.25,74.10816397,30.6372549,74.16020672,30.76923077,-300,225,-287,247,-280,200,-295,225,-271,235,1.333333333,3.25,1.348432056,3.47,1.357142857,3,1.338983051,3.25,1.36900369,3.35,0,1,0,0,0,0,42,101,0.415841584,45,93,0.483870968,11,18,0.611111111,4,6,0.666666667,1,1,1,1,2,0.5,41,100,0.41,40,87,0.459770115,0,0,0,4,4,1,20,71,0.281690141,40,86,0.465116279,11,12,0.916666667,1,1,1,0,0,0,3,0,0,1,0,43,102,47,95,"""Baby Face""","""The Assassin""",https://www.bestfightodds.com/events/ufc-fight-night-121-werdum-vs-tybura-1354,http://www.ufcstats.com/event-details/caced97768818230,http://www.ufcstats.com/fight-details/b90a5b9061ec54a5,
UFC Fight Night: Werdum vs. Tybura,Will Brooks,Nik Lentz,http://ufcstats.com/fighter-details/b6e6c3b1dcaae0a1,http://ufcstats.com/fighter-details/6fb1ba67bef41b37,L,W,2,3 Rnd (5-5-5),Lightweight Bout,2:05,Submission,"5' 10""","72.0""",Orthodox,"5' 8""","68.0""",Orthodox,1.226099813,4.282,1.222222222,4.26,81.55942846,23.3535731,81.81818182,23.4741784,-450,320,-400,330,-550,350,-460,315,-386,326,1.222222222,4.2,1.25,4.3,1.181818182,4.5,1.217391304,4.15,1.259067358,4.26,0,0,0,1,0,1,49,78,0.628205128,34,82,0.414634146,2,2,1,7,9,0.777777778,7,8,0.875,9,11,0.818181818,42,70,0.6,25,71,0.352112676,0,0,0,0,0,0,42,70,0.6,15,58,0.25862069,5,6,0.833333333,12,15,0.8,1,1,2,4,0.5,0,2,0,49,78,40,88,"""Ill""","""The Carny""",https://www.bestfightodds.com/events/ufc-fight-night-121-werdum-vs-tybura-1354,http://www.ufcstats.com/event-details/caced97768818230,http://www.ufcstats.com/fight-details/fd2c018aade60a14,
UFC Fight Night: Werdum vs. Tybura,Tai Tuivasa,Rashad Coulter,http://ufcstats.com/fighter-details/c62fbc117d57b943,http://ufcstats.com/fighter-details/d1528ac5675558b1,W,L,1,3 Rnd (5-5-5),Heavyweight Bout,4:35,KO/TKO,"6' 2""","75.0""",Southpaw,"5' 11""","76.0""",Orthodox,1.55649951,2.456,1.555555556,2.45,64.24672758,40.71661238,64.28571429,40.81632653,-180,140,-172,147,-180,135,-185,145,-182,161,1.555555556,2.4,1.581395349,2.47,1.555555556,2.35,1.540540541,2.45,1.549450549,2.61,1,0,0,1,0,0,22,36,0.611111111,10,19,0.526315789,3,4,0.75,7,7,1,6,9,0.666666667,7,7,1,14,25,0.56,3,10,0.3,2,2,1,0,2,0,16,29,0.551724138,2,11,0.181818182,3,3,1,1,1,1,0,0,0,2,0,0,2,0,22,36,19,28,"""Bam Bam""","""Daywalker""",https://www.bestfightodds.com/events/ufc-fight-night-121-werdum-vs-tybura-1354,http://www.ufcstats.com/event-details/caced97768818230,http://www.ufcstats.com/fight-details/6971094300073d47,
UFC Fight Night: Werdum vs. Tybura,Frank Camacho,Damien Brown,http://ufcstats.com/fighter-details/764342d39cdaa54a,http://ufcstats.com/fighter-details/d024ed963e8bf7ea,W,L,3,3 Rnd (5-5-5),Lightweight Bout,5:00,Decision - Split,"5' 10""","73.0""",Orthodox,"5' 10""","68.0""",Orthodox,1.731143897,2.118,1.740740741,2.15,57.76527311,47.21435316,57.44680851,46.51162791,-135,105,-124,104,-150,115,-150,120,-129,115,1.740740741,2.05,1.806451613,2.04,1.666666667,2.15,1.666666667,2.2,1.775193798,2.15,0,0,1,1,1,0,154,299,0.515050167,104,251,0.414342629,17,22,0.772727273,19,25,0.76,23,27,0.851851852,4,6,0.666666667,130,271,0.479704797,99,244,0.405737705,1,1,1,1,1,1,137,277,0.494584838,72,213,0.338028169,0,0,0,13,13,1,0,1,1,5,0.2,2,7,0.285714286,212,360,115,263,"""The Crank""","""Beatdown""",https://www.bestfightodds.com/events/ufc-fight-night-121-werdum-vs-tybura-1354,http://www.ufcstats.com/event-details/caced97768818230,http://www.ufcstats.com/fight-details/823797bc6d532b52,Chris Aliendi28 - 29.
UFC Fight Night: Werdum vs. Tybura,Nadia Kassem,Alex Chambers,http://ufcstats.com/fighter-details/6e7506127408aa9e,http://ufcstats.com/fighter-details/26b63bc5c0c1f65d,W,L,3,3 Rnd (5-5-5),Women's Strawweight Bout,5:00,Decision - Unanimous,"5' 5""","66.0""",Southpaw,"5' 3""","63.0""",,1.507997682,2.592,1.518134715,2.65,66.3130993,38.58024691,65.87030717,37.73584906,-190,150,-206,176,-180,135,-220,165,-193,170,1.526315789,2.5,1.485436893,2.76,1.555555556,2.35,1.454545455,2.65,1.518134715,2.7,0,0,1,4,2,0,52,105,0.495238095,45,70,0.642857143,17,27,0.62962963,10,11,0.909090909,11,14,0.785714286,2,5,0.4,36,83,0.43373494,29,51,0.568627451,5,8,0.625,14,14,1,25,65,0.384615385,28,47,0.595744681,10,13,0.769230769,7,12,0.583333333,6,0,0,1,0,4,7,0.571428571,134,204,79,108,"""187""","""Astro Girl""",https://www.bestfightodds.com/events/ufc-fight-night-121-werdum-vs-tybura-1354,http://www.ufcstats.com/event-details/caced97768818230,http://www.ufcstats.com/fight-details/23b6ffc0223f8cce,Storm Oshyer27 - 29.
UFC Fight Night: Werdum vs. Tybura,Eric Shelton,Jenel Lausa,http://ufcstats.com/fighter-details/a0c64f272b65d441,http://ufcstats.com/fighter-details/ec664422b22d9787,W,L,3,3 Rnd (5-5-5),Flyweight Bout,5:00,Decision - Unanimous,"5' 6""","68.0""",Orthodox,"5' 5""","68.0""",Orthodox,1.280051254,3.72,1.277777778,3.7,78.12187183,26.88172043,78.26086957,27.02702703,-380,270,-320,270,-360,250,-425,295,-321,275,1.263157895,3.7,1.3125,3.7,1.277777778,3.5,1.235294118,3.95,1.31152648,3.75,0,0,4,0,0,0,86,116,0.74137931,5,30,0.166666667,11,11,1,0,0,0,0,0,0,0,1,0,16,32,0.5,2,23,0.086956522,70,84,0.833333333,3,6,0.5,71,100,0.71,4,28,0.142857143,4,5,0.8,1,2,0.5,0,2,5,7,0.714285714,1,2,0.5,184,225,20,46,"""Showtime""","""The Demolition Man""",https://www.bestfightodds.com/events/ufc-fight-night-121-werdum-vs-tybura-1354,http://www.ufcstats.com/event-details/caced97768818230,http://www.ufcstats.com/fight-details/c06eaf92bdfde8e6,Charlie Keech25 - 30.
UFC Fight Night: Werdum vs. Tybura,Adam Wieczorek,Anthony Hamilton,http://ufcstats.com/fighter-details/efa1f6b42c86793c,http://ufcstats.com/fighter-details/c727c7d31c50c4cf,W,L,3,3 Rnd (5-5-5),Heavyweight Bout,5:00,Decision - Unanimous,"6' 5""","81.0""",Orthodox,"6' 5""","76.0""",Orthodox,1.56147763,2.452,1.555555556,2.46,64.0419037,40.78303426,64.28571429,40.6504065,-180,140,-171,146,-170,130,-190,150,-181,160,1.555555556,2.4,1.584795322,2.46,1.588235294,2.3,1.526315789,2.5,1.552486188,2.6,0,0,1,5,0,0,42,95,0.442105263,32,57,0.561403509,15,16,0.9375,21,22,0.954545455,11,11,1,6,6,1,26,77,0.337662338,11,36,0.305555556,5,7,0.714285714,15,15,1,23,74,0.310810811,6,28,0.214285714,4,5,0.8,5,7,0.714285714,0,0,0,1,0,2,9,0.222222222,73,129,44,75,"""Siwy""","""Freight Train""",https://www.bestfightodds.com/events/ufc-fight-night-121-werdum-vs-tybura-1354,http://www.ufcstats.com/event-details/caced97768818230,http://www.ufcstats.com/fight-details/51ec53f442d2cc9b,Anthony Dimitriou28 - 29.
